big_category,mid_category,product_name,brand,like,price,product_img,codi_img,tags
바지,데님 팬츠,SAND DROUGHT WIDE DENIM PANTS BEIGE,MAISON MINED,"3,563","119,000원",https://image.msscdn.net/images/goods_img/20230214/3082554/3082554_16798804160896_500.jpg,,
여성 가방,크로스백,lottie big bag - caramel,SOMEWHEREBUTTER,698,,https://image.msscdn.net/images/goods_img/20231103/3684245/3684245_16993389487033_500.jpg,,
스니커즈,캔버스/단화,스타 플레이어76 빈티지 화이트 A07195C,CONVERSE,46,,https://image.msscdn.net/images/goods_img/20231206/3746229/3746229_17024465087776_500.png,,
,,,,,,,https://image.msscdn.net/images/codimap/detail/29621/detail_29621_6594e0f610984_500.jpg?202401121101,"['#겨울', '#아메카지', '#데님 팬츠', '#라퍼지 포 우먼', '#롱패딩/롱헤비 아우터', '#메신저/크로스 백', '#메종미네드', '#썸웨어버터', '#카디건', '#캔버스/단화', '#컨버스', '#크로스백', '#코디맵', '#워싱', '#컬러블록', '#와이드핏', '#오버핏', '#빈티지']"
아우터,블루종/MA-1,헤리티지 해링턴 자켓 브릭,SUARE,763,"119,000원",https://image.msscdn.net/images/goods_img/20230824/3495065/3495065_16940515566023_500.jpg,,
상의,셔츠/블라우스,오버사이즈핏 코튼 트윌 셔츠 - 베이지,POLO RALPH LAUREN,384,,https://image.msscdn.net/images/goods_img/20230719/3414582/3414582_16913734168825_500.jpg,,
스커트,롱스커트,언발포켓골덴스커트(PBBF-WSKW135),PIGMENT,"1,367","57,000원",https://image.msscdn.net/images/goods_img/20221103/2920311/2920311_3_500.jpg,,
모자,캡/야구 모자,헤드웨어 9303 사틴 립스탑 네이비 캠프캡,MAGOODGAN,240,"38,000원",https://image.msscdn.net/images/goods_img/20230712/3405400/3405400_16891396463109_500.jpg,,
가방,파우치 백,GOOD THINGS TAKE TIME-DENIM(아이패드 파우치),EARPEARP,669,"35,000원",https://image.msscdn.net/images/goods_img/20230503/3274334/3274334_16830927585888_500.jpg,,
양말/레그웨어,양말,캐시미어 니삭스,GOBI,6,"239,000원",https://image.msscdn.net/images/goods_img/20231206/3746001/3746001_17018354299265_500.jpg,,
